System;Route;Banner;City;Root
gbna;A4081;;(North) Llandrindod Wells;wls.a4081nll
gbna;A4082;;;eng.a4082
gbna;A4085;;;wls.a4085
gbna;A4086;;;wls.a4086
gbna;A4087;;;wls.a4087
gbna;A4088;;;eng.a4088
gbna;A4089;;;eng.a4089
gbna;A4090;;;eng.a4090
gbna;A4092;;;eng.a4092
gbna;A4093;;;wls.a4093
gbna;A4094;;;eng.a4094
gbna;A4095;;;eng.a4095
gbna;A4097;;;eng.a4097
gbna;A4098;;;eng.a4098
gbna;A4099;;;eng.a4099
gbna;A4100;;;eng.a4100
gbna;A4101;;;eng.a4101
gbna;A4102;;Ambleside;eng.a4102
gbna;A4102;;Merthyr Tydfil;wls.a4102
gbna;A4102;;(South) Merthyr Tydfil;wls.a4102sme
gbna;A4103;;;eng.a4103
gbna;A4104;;;eng.a4104
gbna;A4106;;;wls.a4106
gbna;A4107;;;wls.a4107
gbna;A4109;;;wls.a4109
gbna;A4110;;;eng.a4110
gbna;A4111;;;eng.a4111
gbna;A4113;;;eng.a4112
gbna;A4113;;;eng.a4113,wls.a4113
gbna;A4114;;;eng.a4114
gbna;A4115;;;wls.a4115
gbna;A4117;;;eng.a4117
gbna;A4118;;;wls.a4118
gbna;A4119;;(Main);wls.a4119
gbna;A4119;;Miskin;wls.a4119mis
gbna;A4120;;;wls.a4120
gbna;A4123;;;eng.a4123
gbna;A4124;;;eng.a4124
gbna;A4125;;;eng.a4125
gbna;A4126;;;eng.a4126
gbna;A4127;;;eng.a4127
gbna;A4128;;;eng.a4128
gbna;A4129;;;eng.a4129
gbna;A4130;;;eng.a4130
gbna;A4133;;;eng.a4133
gbna;A4135;;;eng.a4135
gbna;A4136;;;eng.a4136,wls.a4136
gbna;A4137;;;eng.a4137
gbna;A4138;;;wls.a4138
gbna;A4139;;;wls.a4139
gbna;A4140;;;eng.a4140
