country;state;Name;Pop.;latitude;longitude
NGA;ALL;Enugu;679764;6.44;7.51
BRA;ALL;Santo André;679464;-23.65;-46.53
LKA;ALL;Colombo;678130;6.93;79.85
MEX;MEX-EMEX;Chimalhuacán;677461;19.44;-98.96
CHN;ALL;Shatian;674237;22.38;114.19
BRA;ALL;São José dos Campos;672262;-23.2;-45.88
CHN;ALL;Zhangdian;669967;36.8;118.06
MEX;MEX-GRO;Acapulco;669366;16.85;-99.92
CHN;ALL;Xiangtan;668555;27.85;112.9
CAN;QC;Quebec;668478;46.82;-71.23
PHL;ALL;Dasmariñas;667009;14.33;120.93
NGA;ALL;Zaria;666004;11.08;7.71
CHN;ALL;Nantong;665398;32.02;120.82
COG;ALL;Pointe Noire;662813;-4.77;11.87
CHN;ALL;Shaoyang;661928;27;111.2
MEX;MEX-QRO;Querétaro;658238;20.59;-100.4
CAN;ON;Hamilton;658070;43.26;-79.85
PAK;ALL;Islāmābād;657788;33.72;73.06
CHN;ALL;Panjin;657731;41.18;122.05
MEX;MEX-COAH;Saltillo;656729;25.42;-101
USA;TX;Austin city;656562;30.300474;-97.747247
KOR;ALL;Ansan;655467;37.35;126.86
IND;ALL;Jamshedpur;655290;22.79;86.2
ESP;ALL;Zaragoza;654550;41.65;-0.89
MEX;MEX-QROO;Cancún;654414;21.17;-86.83
CHN;ALL;Dandong;654066;40.13;124.4
DEU;ALL;Frankfurt;653227;50.12;8.68
ITA;ALL;Palermo;652868;38.12;13.36
USA;MD;Baltimore city;651154;39.307956;-76.617016
CHN;ALL;Haikou;650963;20.05;110.32
USA;TN;Memphis city;650100;35.117365;-89.971068
IND;ALL;Amrāvati;646416;20.95;77.76
CAN;MB;Winnipeg;645496;49.88;-97.17
CHN;ALL;Zhangzhou;641847;24.52;117.67
PLW;ALL;Ġazzah;635450;31.53;34.44
